Sandhill	BISP
Crane	BISP
migration	O
#	HSTG
birdmigration	HSTG
#	HSTG
Sandhillcranes	HSTG
https:\/\/t.co\/WFVPM7ghqF	LINK
new	O
species	O
online	O
:	O
Common	BISP
Redpoll	BISP
Acanthis	BISP
flamea	BISP
#	HSTG
birdmigration	HSTG
#	HSTG
birdID	HSTG
#	HSTG
vismig	HSTG
#	HSTG
finch	HSTG
#	HSTG
redpoll	HSTG
#	HSTG
ornithology	HSTG
https:\/\/t.co\/U9qUuE05Dm	LINK
Unravelling	O
the	O
mystery	O
of	O
long-distance	O
#	HSTG
birdmigration	HSTG
across	O
the	O
Americas	LOC
.	O
Check	O
out	O
this	O
short	O
video	O
of	O
the	O
Motu	O
...	O
https:\/\/t.co\/SwssD4dKhi	LINK
Fly	O
with	O
Greater	BISP
Spotted	BISP
Eagles	BISP
|	O
https:\/\/t.co\/ttUIy6Prl6	LINK
|	O
#	HSTG
BirdMigration	HSTG
https:\/\/t.co\/aI8WgTbszf	LINK
Yellow	BISP
throaded	BISP
warbler	BISP
Setophaga	BISP
dominica	BISP
#	HSTG
warbler	HSTG
#	HSTG
biodiversity	HSTG
#	HSTG
birds	HSTG
#	HSTG
birdmigration	HSTG
...	O
https:\/\/t.co\/mUR4WMUxtJ	LINK
Around	O
the	O
Mediterranean	LOC
:	O
an	O
extreme	O
example	O
of	O
loop	O
#	HSTG
birdmigration	HSTG
in	O
a	O
long-distance	O
migratory	O
passerine	O
...	O
https:\/\/t.co\/U7DK9hT5Xe	LINK
new	O
species	O
online	O
:	O
Eurasian	O
Twite	O
:	O
https:\/\/t.co\/k1SoCdLNBq	LINK
#	HSTG
birdmigration	HSTG
#	HSTG
birdID	HSTG
#	HSTG
birdIDguide	HSTG
#	HSTG
ornithology	HSTG
...	O
https:\/\/t.co\/H2nYPCbgtY	LINK
The	O
latest	O
PETES	O
UK	O
WILDLIFE	O
#	HSTG
wildlife	HSTG
#	HSTG
nature	HSTG
!	O
https:\/\/t.co\/svCFSbg6hW	LINK
#	HSTG
ornithology	HSTG
RT	O
@	O
HenrikLerner	O
:	O
Interesting	O
on	O
migration	O
routes	O
for	O
Greenland	LOC
White-fronted	BISP
Geese	BISP
#	HSTG
Ornithology	HSTG
#	HSTG
goose	HSTG
#	HSTG
birdmigration	HSTG
https:\/\/t.co\/p14GtAC…	LINK
The	O
#	HSTG
DownyWoodpecker	HSTG
is	O
the	O
smallest	O
woodpecker	BISP
in	O
the	O
United	LOC
States	LOC
.	O
#	HSTG
ornithology	HSTG
https:\/\/t.co\/FKl4Qqblsc	LINK
https:\/\/t.co\/RTJpPnSnTX	LINK
A	O
Ring-billed	BISP
Gull	BISP
poses	O
on	O
a	O
pylon	O
in	O
the	O
St	LOC
John	LOC
River	LOC
.	O
New	LOC
Brunswick	LOC
,	O
Canada	LOC
#	HSTG
Nikon	HSTG
#	HSTG
D500	HSTG
#	HSTG
photography	HSTG
#	HSTG
birding	HSTG
...	O
https:\/\/t.co\/5oDjEQNRKu	LINK
Winter	O
Escape	O
,	O
Everglades	LOC
and	O
Florida	LOC
West	LOC
Coast	LOC
Feb	O
3rd-10th	O
Save	O
$	O
1000	O
per	O
couple	O
,	O
Act	O
Now	O
.	O
Incredible	O
Photograph	O
...	O
https:\/\/t.co\/ov8ReJ27MR	LINK
Status	O
update	O
for	O
forest	O
birds	O
on	O
Montserrat	LOC
#	HSTG
ornithology	HSTG
@	O
CGRBowden	O
https:\/\/t.co\/WP7aRfRx0L	LINK
RT	O
@	O
IBIS_journal	O
:	O
Patterns	O
of	O
nocturnal	O
bird	O
migration	O
in	O
southern	LOC
Mexico	LOC
https:\/\/t.co\/soBYMSd3wl	LINK
#	HSTG
ornithology	HSTG
Curious	O
bird	O
stares	O
me	O
down	O
at	O
the	O
Newport	LOC
Aquarium	LOC
in	O
Newport	LOC
Oregon	LOC
.	O
https:\/\/t.co\/y7v8Kdqvkb	LINK
#	HSTG
Oregon	HSTG
#	HSTG
birds	HSTG
Breakfast	O
.	O
#	HSTG
wildlife	HSTG
#	HSTG
feeding	HSTG
#	HSTG
worms	HSTG
#	HSTG
bird	HSTG
#	HSTG
birds	HSTG
#	HSTG
nature	HSTG
#	HSTG
morning	HSTG
#	HSTG
beautiful	HSTG
@	O
Fort	O
Pierce	O
,	O
...	O
https:\/\/t.co\/IuuwFDv9OU	LINK
RT	O
@	O
RIBirdHunter	O
:	O
Invaders	O
from	O
the	O
north	O
!	O
Snow	BISP
Buntings	BISP
in	O
Providence	LOC
,	O
RI	O
,	O
Dec.	O
11	O
@	O
RIAudubon	O
#	HSTG
birds	HSTG
#	HSTG
NaturePhotography	HSTG
https:\/\/t.co\/I9Zek…	LINK
Good	O
morning	O
folks	O
.	O
#	HSTG
wildlife	HSTG
#	HSTG
birds	HSTG
#	HSTG
bird	HSTG
#	HSTG
morning	HSTG
#	HSTG
beautiful	HSTG
@	O
Fort	O
Pierce	O
,	O
Florida	O
https:\/\/t.co\/4uoohO4Jwb	LINK
#	HSTG
birdwatchers	HSTG
of	O
Twitter	O
,	O
any	O
ideas	O
what	O
these	O
little	O
guppers	O
are	O
?	O
In	O
Alberta	LOC
where	O
it	O
's	O
been	O
minus	O
twenty	O
somethin	O
...	O
https:\/\/t.co\/eg2WEUTUiH	LINK
Ten	O
seconds	O
of	O
quiet	O
during	O
the	O
day	O
.	O
#	HSTG
birds	HSTG
#	HSTG
nature	HSTG
@	O
Redmond	O
,	O
Washington	LOC
https:\/\/t.co\/4XWlMJvTqU	LINK
Annual	O
#	HSTG
bird	HSTG
count	O
shows	O
decline	O
of	O
#	HSTG
species	HSTG
|	O
The	O
Kingston	O
Whig-Standard	O
https:\/\/t.co\/vJGLuzi9s1	LINK
#	HSTG
conservation	HSTG
...	O
https:\/\/t.co\/IaKfjZGgSF	LINK
Tarabilla	BISP
europea	BISP
-LRB-	O
Saxicola	BISP
rubicola	BISP
-RRB-	O
.	O
Macho	O
.	O
Common	BISP
stonechat	BISP
.	O
Madrid	LOC
.	O
#	HSTG
best_birds_of_ig	HSTG
#	HSTG
birds	HSTG
...	O
https:\/\/t.co\/CJPreYQU6S	LINK
Bird	O
Painting	O
Sparrow	BISP
Garden	O
Bird	O
https:\/\/t.co\/SKQZpJccIl	LINK
via	O
@	O
Etsy	O
#	HSTG
birds	HSTG
#	HSTG
art	HSTG
#	HSTG
painting	HSTG
#	HSTG
gift	HSTG
https:\/\/t.co\/MBLVlVseuV	LINK
Lastly	O
...	O
Lunchtime	O
#	HSTG
Photography	HSTG
#	HSTG
Birding	HSTG
#	HSTG
BaldEagle	HSTG
Pennypack	LOC
Park	LOC
on	O
the	O
#	HSTG
DelawareRiver	HSTG
https:\/\/t.co\/LQQsb53jJc	LINK
The	O
sun	O
going	O
down	O
at	O
Kochi	LOC
over	O
the	O
Arabian	LOC
sea	LOC
behind	O
the	O
Chinese	O
fishing	O
nets	O
with	O
a	O
small	O
boat	O
in	O
the	O
foregroun	O
...	O
https:\/\/t.co\/FwZtVbPnCP	LINK
RT	O
@	O
josiethebirder	O
:	O
Awesome	O
visualisations	O
of	O
bird	O
migration	O
in	O
Europe	LOC
:	O
https:\/\/t.co\/47tz1PSRGA	LINK
#	HSTG
birds	HSTG
#	HSTG
ornithology	HSTG
#	HSTG
migration	HSTG
RT	O
@	O
OBBAII	O
:	O
Nice	O
article	O
about	O
the	O
ongoing	O
Second	O
Atlas	O
in	O
Virginia	LOC
:	O
https:\/\/t.co\/AzjGeaEVjR	LINK
Well	O
done	O
!	O
#	HSTG
ornithology	HSTG
#	HSTG
citizenscience	HSTG
https	O
:	O
...	O
Home	O
for	O
a	O
few	O
days	O
,	O
had	O
a	O
really	O
nice	O
bird	O
in	O
the	O
backyard	O
.	O
This	O
Northern	BISP
Parula	BISP
is	O
supposed	O
to	O
be	O
in	O
the	O
Caribbea	LOC
...	O
https:\/\/t.co\/9ghBq6SqEp	LINK
Saying	O
hi	O
to	O
the	O
seagulls	BISP
#	HSTG
seagulls	HSTG
#	HSTG
beach	HSTG
#	HSTG
sea	HSTG
#	HSTG
varadero	HSTG
#	HSTG
cuba	HSTG
#	HSTG
relaxing	HSTG
#	HSTG
birds	HSTG
en	O
Varadero	LOC
,	O
Cuba	LOC
https:\/\/t.co\/2ve09xcmad	LINK
2017	O
December	O
19	O
1149	O
.	O
Burns	LOC
,	O
Oregon	LOC
.	O
Hawk	BISP
?	O
#	HSTG
Photography	HSTG
#	HSTG
Birds	HSTG
Fullsize	O
:	O
https:\/\/t.co\/p08C0FavkC	LINK
https:\/\/t.co\/nsAFRNDbhX	LINK
RT	O
@	O
LushTimesEN	O
:	O
Lebanon	LOC
is	O
on	O
one	O
of	O
the	O
most	O
important	O
routes	O
for	O
migrating	O
#	HSTG
birds	HSTG
in	O
the	O
world	O
.	O
It	O
's	O
also	O
among	O
the	O
most	O
dangerous	O
.	O
@	O
CAB	O
...	O
Challenging	O
day	O
for	O
Area	O
1	O
#	HSTG
Sooke	HSTG
.	O
Kemp	LOC
Lake	LOC
to	O
Otter	LOC
Point	LOC
Park	LOC
.	O
May	O
have	O
seen	O
more	O
cetaceans	O
than	O
birds	O
?	O
...	O
https:\/\/t.co\/qye1FmykhP	LINK
California	O
condor	BISP
update	O
-	O
nestling	O
#	HSTG
871	HSTG
appears	O
to	O
have	O
fledged	O
!	O
#	HSTG
ThomasFire	HSTG
#	HSTG
ornithology	HSTG
https:\/\/t.co\/AYiLWrxi3P	LINK
RT	O
@	O
RareBirdAlertUK	O
:	O
Researchers	O
describe	O
first-ever	O
hybrid	O
bird	O
species	O
from	O
the	O
Amazon	LOC
,	O
#	HSTG
ornithology	HSTG
https:\/\/t.co\/hNrTJIDq9u	LINK
https:\/\/t.co…	LINK
Red	BISP
Tailed	BISP
Hawk	BISP
-	O
The	O
Coves	O
ESA	O
-	O
London	LOC
,	O
ON	O
??	O
#	HSTG
hawk	HSTG
#	HSTG
birds	HSTG
#	HSTG
wildlife	HSTG
#	HSTG
wildlifephotography	HSTG
#	HSTG
nature	HSTG
...	O
https:\/\/t.co\/YpuCPI867u	LINK
RT	O
@	O
MyFWC	O
:	O
Check	O
out	O
the	O
Great	O
Florida	LOC
Birding	O
&	O
Wildlife	O
Trail	O
locations	O
near	O
you	O
:	O
https:\/\/t.co\/eRqcvdAYrL	LINK
#	HSTG
birding	HSTG
#	HSTG
wildlife	HSTG
https:\/\/t.co…	LINK
New	O
online	O
:	O
Extinct	O
Birds	O
of	O
Hawai	LOC
?	O
i	O
captures	O
the	O
vanishing	O
world	O
of	O
unique	O
bird	O
species	O
in	O
the	O
Hawaiian	LOC
Islands	LOC
,	O
m	O
...	O
https:\/\/t.co\/rRtoTllvTL	LINK
@	O
patsplanet	O
Thank	O
you	O
,	O
Pat	O
!	O
American	BISP
Oystercatcher	BISP
near	O
the	O
Cafe	LOC
Fear	LOC
River	LOC
:	O
https:\/\/t.co\/lVj783GB2e	LINK
...	O
#	HSTG
birds	HSTG
#	HSTG
nature	HSTG
#	HSTG
cold	HSTG
#	HSTG
bird	HSTG
@	O
Richmond	O
,	O
Virginia	LOC
https:\/\/t.co\/MnUiQGyYAj	LINK
MISSING	O
Bird	O
Cockatiel	BISP
from	O
BishopAuckland	LOC
County	LOC
Durham	LOC
https:\/\/t.co\/6S7VeWe2u9	LINK
#	HSTG
bishopauckland	HSTG
#	HSTG
#	HSTHSTG
bird	HSTG
#	HSTG
petregister	HSTG
pls	O
RT	O
RT	O
@	O
rbabox	O
:	O
A	O
Red-throated	BISP
Pipit	BISP
has	O
just	O
been	O
confirmed	O
in	O
San	LOC
Diego	LOC
County	LOC
,	O
California	LOC
-LRB-	O
CODE	O
3	O
-RRB-	O
https:\/\/t.co\/ODY2A1gg4m	LINK
#	HSTG
ABARare	HSTG
#	HSTG
birding	HSTG
...	O
RT	O
@	O
rbabox	O
:	O
A	O
White-collared	BISP
Seedeater	BISP
continues	O
in	O
Starr	LOC
County	LOC
,	O
Texas	LOC
https:\/\/t.co\/2CmvRhKuF8	LINK
#	HSTG
ABARare	HSTG
#	HSTG
birding	HSTG
https:\/\/t.co\/4M7W0HmWIJ	LINK
RT	O
@	O
rbabox	O
:	O
A	O
Tufted	BISP
Duck	BISP
has	O
just	O
been	O
